,index,model,2nd_model,cascade,voting,cascade_better,2nd_better,2nd_cascade_better
0,air_quality,0.5894741554167948,0.6134864695409313,0.5888728732268654,0.57948960155509,False,False,False
1,traffic,14.097276012188155,13.208888254658936,13.37698032920183,12.886159821792551,False,True,False
2,energy,4128266.163033046,4173632.921931037,4191898.1936984025,4076350.529756964,False,False,False
3,power,3861564.9539603847,634171.7063489873,698529.6079930342,1737811.76755188,True,True,True
4,parking,299695.11715532065,280925.530570676,298208.2156392577,292795.1307469086,False,True,False
5,room,22.26704479850099,21.8402320301705,21.424886515525177,21.26708640650257,False,True,False
6,solar,559041.785378256,471506.2584194441,619490.5904912183,516928.9195550314,False,True,False
7,kolkata,0.9056739019960428,0.9252834720618432,0.9504012814344364,0.8985063419363853,False,False,False
8,turbine,330211.1762874329,324673.26622030773,355694.8772057235,317746.43943220563,False,True,False
9,joho,8043454.621426973,5991503.825032723,9570996.869573236,6835561.8340300135,False,True,False
10,electricity,0.1031899695968114,0.1032108150419093,0.1138093558550233,0.1017188861270977,False,False,False
11,iot,14.248145308025212,13.902287630355003,14.236713017279657,13.700321498703492,False,True,False
12,sum,17222286.02804556,11876464.101911847,15734869.046264244,13777244.05435556,1.0,8.0,1.0
