,index,model,2nd_model,cascade,voting,cascade_better,2nd_better,2nd_cascade_better
0,air_quality,0.6204461919763372,0.5894741554167948,0.6497289556502579,0.5897558161710671,False,True,False
1,traffic,31.27902402127611,14.097276012188155,13.31833426441508,17.552931916941,True,True,True
2,energy,18573955.734464835,4128266.163033046,3957555.037124147,8384234.800575659,True,True,True
3,power,12009043.032984473,3861564.9539603847,3969232.2367956745,6526992.7060470935,True,True,True
4,parking,545556.0856684137,299695.11715532065,308996.78695977567,353901.2784977311,True,True,True
5,room,25.315584460592618,22.26704479850099,17.399009581841817,22.073018733367185,True,True,True
6,solar,965280.5146939856,559041.785378256,538896.9192953302,592787.5246064742,True,True,True
7,kolkata,1.0634140558375351,0.9056739019960428,0.9565884690010904,0.9225308182028944,False,True,False
8,turbine,425008.1177665319,330211.1762874329,300949.5458190644,346229.77515643113,True,True,True
9,joho,19618762.373421125,8043454.621426973,8055602.954057067,9396392.813262464,True,True,True
10,electricity,0.1074007480962725,0.1031899695968114,0.1137280539759579,0.0996058331486847,False,True,False
11,iot,19.667907214856783,14.248145308025212,13.878954664555048,13.71570665309913,False,True,False
12,sum,52137683.91277606,17222286.02804556,17131279.79639505,25600593.851695623,8.0,12.0,8.0
